matching_key,year,pue,reactor_scenario,bess_applied,carbon_price_usd_per_tco2,tac_case1_usd_per_yr,tac_case2_usd_per_yr,net_value_of_absorption_usd_per_yr,vcc_elec_saved_usd_per_yr,net_vcc_elec_saved_usd_per_yr,turbine_gen_lost_usd_per_yr,absorption_capex_fom_usd_per_yr,extra_water_cost_usd_per_yr,crystal_cutoff_backup_usd_per_yr,ptc_forgone_usd_per_yr,sum_of_components_usd_per_yr,residual_usd_per_yr
main_baseline/base,2023,1.35,ATB_Mid,False,0.0,113370159.47922154,122594195.72701055,-9224036.24778901,17175585.507935613,14039883.44388764,-7545347.124037054,-13220523.075709471,-14589.078618688876,-3135702.0640479745,-1074698.5728842467,-7800685.328743133,-1423350.9190458776
s1_pue/_pue110,2023,1.1,ATB_Mid,False,0.0,101141142.59465753,114361665.70372762,-13220523.109070092,4946568.623381458,-0.03336052503436804,-0.0,-13220523.075709471,-0.0,-4946568.656741983,0.0,-13220523.109069996,-9.685754776000977e-08
s1_pue/_pue130,2023,1.3,ATB_Mid,False,0.0,111034279.85014097,122068938.58583719,-11034658.735696211,14839705.878864534,10758327.91893569,-6653137.309827191,-13220523.075709471,-8016.883112854087,-4081377.9599288437,-597894.1651114374,-9713226.631712409,-1321432.1039838027
s1_pue/_pue150,2023,1.5,ATB_Mid,False,0.0,120927417.10272114,123280686.45836031,-2353269.3556391746,24732843.13144089,23806807.791626744,-9045669.289813144,-13220523.075709471,-33224.40007958655,-926035.3398141442,-2402372.7173243687,-861757.2912202394,-1491512.0644189352
s2_price/_year2022,2022,1.35,ATB_Mid,False,0.0,96950769.67084049,106185342.32236822,-9234572.651527733,18988185.66042446,16885320.55566319,-9214342.05620741,-13220523.075709471,-28086.696005555536,-2102865.104761269,-2043044.2448916733,-7592588.821145363,-1641983.8303823695
s2_price/_year2023,2023,1.35,ATB_Mid,False,0.0,113370159.47922154,122594195.72701055,-9224036.24778901,17175585.507935613,14039883.44388764,-7545347.124037054,-13220523.075709471,-14589.078618688876,-3135702.0640479745,-1074698.5728842467,-7800685.328743133,-1423350.9190458776
s2_price/_year2024,2024,1.35,ATB_Mid,False,0.0,141512843.0856877,153883300.30566886,-12370457.219981164,7406534.018583719,4208074.209639469,-2199311.0775172557,-13220523.075709471,-11467.821805555544,-3198459.808944249,-841286.0081433877,-12053045.951730646,-317411.26825051755
s3_battery/_bess_off,2023,1.35,ATB_Mid,False,0.0,113370159.47922154,122594195.72701055,-9224036.24778901,17175585.507935613,14039883.44388764,-7545347.124037054,-13220523.075709471,-14589.078618688876,-3135702.0640479745,-1074698.5728842467,-7800685.328743133,-1423350.9190458776
s3_battery/_bess_on,2023,1.35,ATB_Mid,True,0.0,114125586.7692769,123355973.89947352,-9230387.130196616,17175585.565363284,14010665.325943256,-7527641.659969573,-13220523.075709471,-14566.155549999985,-3164920.2394200284,-1072871.9072640166,-7810371.316999804,-1420015.8131968118
s4_capex/_ATB_Mid,2023,1.35,ATB_Mid,False,0.0,113370159.47922154,122594195.72701055,-9224036.24778901,17175585.507935613,14039883.44388764,-7545347.124037054,-13220523.075709471,-14589.078618688876,-3135702.0640479745,-1074698.5728842467,-7800685.328743133,-1423350.9190458776
